id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
oQDUqkRer00JcB6DDRNH5A,eggs-nat-coraopolis,Eggs N'at,https://s3-media2.fl.yelpcdn.com/bphoto/HTiLEx5oiqhyi2b0tX0wMg/o.jpg,False,https://www.yelp.com/biz/eggs-nat-coraopolis?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,314,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,['delivery'],$,+14122622920,(412) 262-2920,2894.3367733613954,40.50759,-80.22377,8556 University Blvd,,,Coraopolis,15108,US,PA,"['8556 University Blvd', 'Coraopolis, PA 15108']"
OEMTOWaemuov7TFD1sW3lw,forgotten-taste-pierogies-moon,Forgotten Taste Pierogies,https://s3-media1.fl.yelpcdn.com/bphoto/XdFhFfqJy8ajJx0IgWkRYQ/o.jpg,False,https://www.yelp.com/biz/forgotten-taste-pierogies-moon?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,107,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'polish', 'title': 'Polish'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,['delivery'],$,+14122699800,(412) 269-9800,2494.969831634625,40.5120582580566,-80.2153930664062,910 Beaver Grade Rd,,,Moon,15108,US,PA,"['910 Beaver Grade Rd', 'Moon, PA 15108']"
OyGwvqB3iVPX5CavwuC4tA,hyeholde-restaurant-coraopolis-2,Hyeholde Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/NWmtOhgVSRYDrf23rJuo5w/o.jpg,False,https://www.yelp.com/biz/hyeholde-restaurant-coraopolis-2?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,134,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],$$$,+14122643116,(412) 264-3116,1108.1500989457443,40.50404,-80.202678,1516 Coraopolis Heights Rd,,,Coraopolis,15108,US,PA,"['1516 Coraopolis Heights Rd', 'Coraopolis, PA 15108']"
PYIwY8EqOyMLQG567xwVEw,armstrongs-restaurant-coraopolis,Armstrong's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/x-vWnjOeQfcGzwWZookwfA/o.jpg,False,https://www.yelp.com/biz/armstrongs-restaurant-coraopolis?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,194,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"['delivery', 'pickup']",$$,+14122629355,(412) 262-9355,1728.345428512157,40.506517284150235,-80.20925815601136,1136 Thorn Run Rd,,,Coraopolis,15108,US,PA,"['1136 Thorn Run Rd', 'Coraopolis, PA 15108']"
jvSgUe3g6LrNQGucBLBvCw,la-poblanita-coraopolis,La Poblanita,https://s3-media3.fl.yelpcdn.com/bphoto/Q3c32Dk7frwT-VYUvIrggQ/o.jpg,False,https://www.yelp.com/biz/la-poblanita-coraopolis?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,80,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'meats', 'title': 'Meat Shops'}]",4.5,['delivery'],$,+14127167768,(412) 716-7768,3056.1388236814632,40.5208941999576,-80.169183609374,801 4th Ave,,,Coraopolis,15108,US,PA,"['801 4th Ave', 'Coraopolis, PA 15108']"
F44RugAixD4yauHlTGXGug,primanti-bros-moon-township-3,Primanti Bros. Restaurant and Bar Moon,https://s3-media2.fl.yelpcdn.com/bphoto/so0ztpO0Bh5Osjcnm2Ywcg/o.jpg,False,https://www.yelp.com/biz/primanti-bros-moon-township-3?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,316,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",3.5,"['delivery', 'pickup']",$$,+14128652200,(412) 865-2200,2785.094674884297,40.50661816,-80.2227049,8651 University Blvd,,,Moon Township,15108,US,PA,"['8651 University Blvd', 'Moon Township, PA 15108']"
iRhB506lbc0kU5289zyHzg,bar-symon-coraopolis,Bar Symon,https://s3-media3.fl.yelpcdn.com/bphoto/7QsCDXZYUlpeFap0eLL5Ng/o.jpg,False,https://www.yelp.com/biz/bar-symon-coraopolis?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,283,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,[],$$,+14124725067,(412) 472-5067,4678.570271667711,40.495363219064814,-80.24637672537118,1000 Airport Blvd,,,Coraopolis,15108,US,PA,"['1000 Airport Blvd', 'Coraopolis, PA 15108']"
9dYmk05KXYH3iIG89DzvwQ,four-twelve-project-coraopolis,Four Twelve Project,https://s3-media2.fl.yelpcdn.com/bphoto/ScblOkdqdZHHaxhGvrxpbQ/o.jpg,False,https://www.yelp.com/biz/four-twelve-project-coraopolis?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,129,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,['delivery'],$$,+17244570707,(724) 457-0707,3830.036795423091,40.52312,-80.22338,988 Brodhead Rd,,,Coraopolis,15108,US,PA,"['988 Brodhead Rd', 'Coraopolis, PA 15108']"
9wm8Q1W_0_7Ka_AWBK5c7Q,casa-amigos-tequila-bar-and-grill-coraopolis-2,Casa Amigos Tequila Bar & Grill,https://s3-media2.fl.yelpcdn.com/bphoto/yvKihkvcgbMtB1jzk92wag/o.jpg,False,https://www.yelp.com/biz/casa-amigos-tequila-bar-and-grill-coraopolis-2?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,105,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['delivery', 'pickup']",$$,+14122640800,(412) 264-0800,1725.8969647122278,40.5017951535693,-80.2113790624781,333 Rouser Rd,,,Coraopolis,15108,US,PA,"['333 Rouser Rd', 'Coraopolis, PA 15108']"
YV2UPfovJZVKSEQjgTdbpA,marios-restaurant-and-bar-coraopolis,Mario's Restaurant & Bar,https://s3-media2.fl.yelpcdn.com/bphoto/Xq93LWayVPl0WyWhGNT-xQ/o.jpg,False,https://www.yelp.com/biz/marios-restaurant-and-bar-coraopolis?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,95,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,['delivery'],$$,+14122623020,(412) 262-3020,2277.982533922256,40.51128,-80.2131,935 Beaver Grade Rd,,,Coraopolis,15108,US,PA,"['935 Beaver Grade Rd', 'Coraopolis, PA 15108']"
